year,quarter,region,sector,total_funding_millions,deal_count,avg_round_size_millions,momentum_score,top_startup_example,stage_dominance
2012,1,India,AI_ML,25,5,5,6,TCS_Research,Early-Stage
2012,2,India,AI_ML,28,5,6,7,TCS_Research,Early-Stage
2012,3,India,AI_ML,24,4,6,6,TCS_Research,Early-Stage
2012,4,India,AI_ML,30,6,5,8,TCS_Research,Early-Stage
2013,1,India,AI_ML,35,7,5,9,TCS_Research,Early-Stage
2013,2,India,AI_ML,40,8,5,10,TCS_Research,Early-Stage
2013,3,India,AI_ML,38,7,5,9,TCS_Research,Early-Stage
2013,4,India,AI_ML,45,9,5,11,TCS_Research,Early-Stage
2014,1,India,AI_ML,50,10,5,12,TCS_Research,Early-Stage
2014,2,India,AI_ML,55,11,5,13,TCS_Research,Early-Stage
2014,3,India,AI_ML,48,10,5,12,TCS_Research,Early-Stage
2014,4,India,AI_ML,60,12,5,14,TCS_Research,Early-Stage
2015,1,India,AI_ML,70,14,5,15,TCS_Research,Early-Stage
2015,2,India,AI_ML,80,16,5,16,TCS_Research,Early-Stage
2015,3,India,AI_ML,75,15,5,15,TCS_Research,Early-Stage
2015,4,India,AI_ML,90,18,5,18,TCS_Research,Early-Stage
2016,1,India,AI_ML,100,20,5,20,TCS_Research,Early-Stage
2016,2,India,AI_ML,110,22,5,22,TCS_Research,Early-Stage
2016,3,India,AI_ML,95,19,5,20,TCS_Research,Early-Stage
2016,4,India,AI_ML,120,24,5,25,TCS_Research,Growth
2017,1,India,AI_ML,150,28,5,28,TCS_Research,Growth
2017,2,India,AI_ML,180,32,6,30,TCS_Research,Growth
2017,3,India,AI_ML,160,30,5,29,TCS_Research,Growth
2017,4,India,AI_ML,200,35,6,32,TCS_Research,Growth
2018,1,India,AI_ML,250,40,6,35,TCS_Research,Growth
2018,2,India,AI_ML,300,45,7,38,TCS_Research,Growth
2018,3,India,AI_ML,280,42,7,36,TCS_Research,Growth
2018,4,India,AI_ML,350,48,7,40,TCS_Research,Growth
2019,1,India,AI_ML,400,52,8,42,TCS_Research,Growth
2019,2,India,AI_ML,450,56,8,45,TCS_Research,Growth
2019,3,India,AI_ML,420,54,8,43,TCS_Research,Growth
2019,4,India,AI_ML,500,60,8,48,TCS_Research,Growth
2020,1,India,AI_ML,550,65,8,50,TCS_Research,Growth
2020,2,India,AI_ML,600,70,9,52,TCS_Research,Growth
2020,3,India,AI_ML,580,68,9,51,TCS_Research,Growth
2020,4,India,AI_ML,650,75,9,55,TCS_Research,Growth
2021,1,India,AI_ML,750,82,9,58,TCS_Research,Growth
2021,2,India,AI_ML,850,90,9,62,TCS_Research,Growth
2021,3,India,AI_ML,800,86,9,60,TCS_Research,Growth
2021,4,India,AI_ML,950,95,10,65,TCS_Research,Growth
2022,1,India,AI_ML,1100,100,11,70,TCS_Research,Growth
2022,2,India,AI_ML,1200,105,11,72,TCS_Research,Growth
2022,3,India,AI_ML,1150,102,11,71,TCS_Research,Growth
2022,4,India,AI_ML,1300,110,12,75,TCS_Research,Late-Stage
2023,1,India,AI_ML,1500,115,13,78,Sarvam_AI,Late-Stage
2023,2,India,AI_ML,1600,120,13,80,Sarvam_AI,Late-Stage
2023,3,India,AI_ML,1550,118,13,79,Sarvam_AI,Late-Stage
2023,4,India,AI_ML,1800,125,14,82,Sarvam_AI,Late-Stage
2024,1,India,AI_ML,2000,130,15,85,Sarvam_AI,Late-Stage
2024,2,India,AI_ML,2200,135,16,88,Sarvam_AI,Late-Stage
2024,3,India,AI_ML,2100,132,16,86,Sarvam_AI,Late-Stage
2024,4,India,AI_ML,2500,140,18,90,Sarvam_AI,Late-Stage
2025,1,India,AI_ML,3000,148,20,92,Sarvam_AI,Late-Stage
2025,2,India,AI_ML,3500,155,23,94,Sarvam_AI,Late-Stage
2025,3,India,AI_ML,3200,150,21,93,Sarvam_AI,Late-Stage
2025,4,India,AI_ML,4000,160,25,95,Sarvam_AI,Late-Stage
2026,1,India,AI_ML,4500,168,27,96,Sarvam_AI,Late-Stage
2026,2,India,AI_ML,5000,175,29,97,Sarvam_AI,Late-Stage
2026,3,India,AI_ML,4800,172,28,96,Sarvam_AI,Late-Stage
2026,4,India,AI_ML,5500,180,31,98,Sarvam_AI,Late-Stage
2027,1,India,AI_ML,6000,185,32,98,Sarvam_AI,Late-Stage
2027,2,India,AI_ML,6500,190,34,99,Sarvam_AI,Late-Stage
2027,3,India,AI_ML,6200,188,33,98,Sarvam_AI,Late-Stage
2027,4,India,AI_ML,7000,195,36,99,Sarvam_AI,Late-Stage
2010,1,USA,Fintech,150,10,15,10,Square,Early-Stage
2010,2,USA,Fintech,160,11,15,12,Square,Early-Stage
2010,3,USA,Fintech,140,10,14,10,Square,Early-Stage
2010,4,USA,Fintech,180,12,15,14,Square,Early-Stage
2011,1,USA,Fintech,200,14,14,16,Square,Early-Stage
2011,2,USA,Fintech,220,15,15,18,Square,Early-Stage
2011,3,USA,Fintech,210,14,15,17,Square,Early-Stage
2011,4,USA,Fintech,250,16,16,20,Square,Early-Stage
2012,1,USA,Fintech,300,18,17,22,Square,Early-Stage
2012,2,USA,Fintech,340,20,17,25,Square,Early-Stage
2012,3,USA,Fintech,320,19,17,23,Square,Early-Stage
2012,4,USA,Fintech,380,22,17,28,Square,Growth
2013,1,USA,Fintech,450,25,18,32,Stripe,Growth
2013,2,USA,Fintech,500,28,18,35,Stripe,Growth
2013,3,USA,Fintech,480,27,18,33,Stripe,Growth
2013,4,USA,Fintech,550,30,18,38,Stripe,Growth
2014,1,USA,Fintech,650,35,19,42,Stripe,Growth
2014,2,USA,Fintech,720,38,19,45,Stripe,Growth
2014,3,USA,Fintech,680,36,19,43,Stripe,Growth
2014,4,USA,Fintech,800,40,20,48,Stripe,Growth
2015,1,USA,Fintech,950,45,21,52,Stripe,Growth
2015,2,USA,Fintech,1050,48,22,55,Stripe,Growth
2015,3,USA,Fintech,1000,46,22,53,Stripe,Growth
2015,4,USA,Fintech,1200,50,24,58,Stripe,Late-Stage
2016,1,USA,Fintech,1400,55,25,62,Stripe,Late-Stage
2016,2,USA,Fintech,1600,60,27,65,Stripe,Late-Stage
2016,3,USA,Fintech,1500,58,26,63,Stripe,Late-Stage
2016,4,USA,Fintech,1800,62,29,68,Stripe,Late-Stage
2017,1,USA,Fintech,2000,65,31,70,Stripe,Late-Stage
2017,2,USA,Fintech,2200,68,32,72,Stripe,Late-Stage
2017,3,USA,Fintech,2100,66,32,71,Stripe,Late-Stage
2017,4,USA,Fintech,2500,70,36,75,Stripe,Late-Stage
2018,1,USA,Fintech,2800,72,39,78,Stripe,Late-Stage
2018,2,USA,Fintech,3200,75,43,80,Stripe,Late-Stage
2018,3,USA,Fintech,3000,73,41,79,Stripe,Late-Stage
2018,4,USA,Fintech,3500,78,45,82,Stripe,Late-Stage
2019,1,USA,Fintech,3800,80,48,84,Stripe,Late-Stage
2019,2,USA,Fintech,4200,82,51,86,Stripe,Late-Stage
2019,3,USA,Fintech,4000,81,49,85,Stripe,Late-Stage
2019,4,USA,Fintech,4500,85,53,88,Stripe,Late-Stage
2020,1,USA,Fintech,4800,88,55,89,Stripe,Late-Stage
2020,2,USA,Fintech,5200,90,58,90,Stripe,Late-Stage
2020,3,USA,Fintech,5000,89,56,89,Stripe,Late-Stage
2020,4,USA,Fintech,5500,92,60,91,Stripe,Late-Stage
2021,1,USA,Fintech,6000,95,63,92,Stripe,Late-Stage
2021,2,USA,Fintech,6800,100,68,93,Stripe,Late-Stage
2021,3,USA,Fintech,6500,98,66,92,Stripe,Late-Stage
2021,4,USA,Fintech,7200,102,71,94,Stripe,Late-Stage
2022,1,USA,Fintech,7500,105,71,95,Stripe,Late-Stage
2022,2,USA,Fintech,8000,108,74,96,Stripe,Late-Stage
2022,3,USA,Fintech,7800,106,74,95,Stripe,Late-Stage
2022,4,USA,Fintech,8500,110,77,97,Stripe,Late-Stage
2023,1,USA,Fintech,9000,112,80,98,Stripe,Late-Stage
2023,2,USA,Fintech,9500,115,83,98,Stripe,Late-Stage
2023,3,USA,Fintech,9200,113,81,98,Stripe,Late-Stage
2023,4,USA,Fintech,10000,118,85,99,Stripe,Late-Stage
2024,1,USA,Fintech,10500,120,88,99,Stripe,Late-Stage
2024,2,USA,Fintech,11000,122,90,99,Stripe,Late-Stage
2024,3,USA,Fintech,10800,121,89,99,Stripe,Late-Stage
2024,4,USA,Fintech,11500,125,92,100,Stripe,Late-Stage
2025,1,USA,Fintech,12000,128,94,100,Stripe,Late-Stage
2025,2,USA,Fintech,12500,130,96,100,Stripe,Late-Stage
2025,3,USA,Fintech,12200,129,95,100,Stripe,Late-Stage
2025,4,USA,Fintech,13000,132,98,100,Stripe,Late-Stage
2026,1,USA,Fintech,13500,135,100,100,Stripe,Late-Stage
2026,2,USA,Fintech,14000,138,101,100,Stripe,Late-Stage
2026,3,USA,Fintech,13800,136,101,100,Stripe,Late-Stage
2026,4,USA,Fintech,14500,140,104,100,Stripe,Late-Stage
2027,1,USA,Fintech,15000,142,106,100,Stripe,Late-Stage
2027,2,USA,Fintech,15500,145,107,100,Stripe,Late-Stage
2027,3,USA,Fintech,15200,143,106,100,Stripe,Late-Stage
2027,4,USA,Fintech,16000,148,108,100,Stripe,Late-Stage
2010,1,China,Fintech,30,4,8,5,Alipay,Early-Stage
2010,2,China,Fintech,35,5,7,6,Alipay,Early-Stage
2010,3,China,Fintech,28,4,7,5,Alipay,Early-Stage
2010,4,China,Fintech,40,5,8,8,Alipay,Early-Stage
2011,1,China,Fintech,50,6,8,10,Alipay,Early-Stage
2011,2,China,Fintech,60,7,9,12,Alipay,Early-Stage
2011,3,China,Fintech,55,6,9,11,Alipay,Early-Stage
2011,4,China,Fintech,70,8,9,15,Alipay,Early-Stage
2012,1,China,Fintech,80,10,8,18,Alipay,Early-Stage
2012,2,China,Fintech,90,11,8,20,Alipay,Early-Stage
2012,3,China,Fintech,85,10,9,19,Alipay,Early-Stage
2012,4,China,Fintech,100,12,8,22,Alipay,Growth
2013,1,China,Fintech,120,15,8,25,Alipay,Growth
2013,2,China,Fintech,140,18,8,28,Alipay,Growth
2013,3,China,Fintech,130,16,8,26,Alipay,Growth
2013,4,China,Fintech,160,20,8,30,Alipay,Growth
2014,1,China,Fintech,200,25,8,35,Alipay,Growth
2014,2,China,Fintech,240,28,9,40,Alipay,Growth
2014,3,China,Fintech,220,26,8,38,Alipay,Growth
2014,4,China,Fintech,280,30,9,45,Alipay,Growth
2015,1,China,Fintech,350,35,10,50,Alipay,Growth
2015,2,China,Fintech,400,38,11,55,Alipay,Growth
2015,3,China,Fintech,380,36,11,52,Alipay,Growth
2015,4,China,Fintech,450,40,11,58,Alipay,Late-Stage
2016,1,China,Fintech,520,45,12,60,Alipay,Late-Stage
2016,2,China,Fintech,580,48,12,62,Alipay,Late-Stage
2016,3,China,Fintech,550,46,12,61,Alipay,Late-Stage
2016,4,China,Fintech,650,50,13,65,Alipay,Late-Stage
2017,1,China,Fintech,750,55,14,68,Alipay,Late-Stage
2017,2,China,Fintech,850,58,15,72,Alipay,Late-Stage
2017,3,China,Fintech,800,56,14,70,Alipay,Late-Stage
2017,4,China,Fintech,950,60,16,75,Alipay,Late-Stage
2018,1,China,Fintech,1100,65,17,78,Alipay,Late-Stage
2018,2,China,Fintech,1200,68,18,80,Alipay,Late-Stage
2018,3,China,Fintech,1150,66,17,79,Alipay,Late-Stage
2018,4,China,Fintech,1300,70,19,82,Alipay,Late-Stage
2019,1,China,Fintech,1400,72,19,84,Alipay,Late-Stage
2019,2,China,Fintech,1500,75,20,86,Alipay,Late-Stage
2019,3,China,Fintech,1450,73,20,85,Alipay,Late-Stage
2019,4,China,Fintech,1600,78,21,88,Alipay,Late-Stage
2020,1,China,Fintech,1700,80,21,89,Alipay,Late-Stage
2020,2,China,Fintech,1800,82,22,90,Alipay,Late-Stage
2020,3,China,Fintech,1750,81,22,89,Alipay,Late-Stage
2020,4,China,Fintech,1900,85,22,91,Alipay,Late-Stage
2021,1,China,Fintech,2000,88,23,92,Alipay,Late-Stage
2021,2,China,Fintech,2200,90,24,93,Alipay,Late-Stage
2021,3,China,Fintech,2100,89,24,92,Alipay,Late-Stage
2021,4,China,Fintech,2400,92,26,94,Alipay,Late-Stage
2022,1,China,Fintech,2600,95,27,95,Alipay,Late-Stage
2022,2,China,Fintech,2800,98,29,96,Alipay,Late-Stage
2022,3,China,Fintech,2700,96,28,95,Alipay,Late-Stage
2022,4,China,Fintech,3000,100,30,97,Alipay,Late-Stage
2023,1,China,Fintech,3200,102,31,97,Alipay,Late-Stage
2023,2,China,Fintech,3400,105,32,98,Alipay,Late-Stage
2023,3,China,Fintech,3300,103,32,97,Alipay,Late-Stage
2023,4,China,Fintech,3600,108,33,98,Alipay,Late-Stage
2024,1,China,Fintech,3800,110,35,99,Alipay,Late-Stage
2024,2,China,Fintech,4000,112,36,99,Alipay,Late-Stage
2024,3,China,Fintech,3900,111,35,99,Alipay,Late-Stage
2024,4,China,Fintech,4200,115,37,100,Alipay,Late-Stage
2025,1,China,Fintech,4400,118,37,100,Alipay,Late-Stage
2025,2,China,Fintech,4600,120,38,100,Alipay,Late-Stage
2025,3,China,Fintech,4500,119,38,100,Alipay,Late-Stage
2025,4,China,Fintech,4800,122,39,100,Alipay,Late-Stage
2026,1,China,Fintech,5000,125,40,100,Alipay,Late-Stage
2026,2,China,Fintech,5200,128,41,100,Alipay,Late-Stage
2026,3,China,Fintech,5100,126,40,100,Alipay,Late-Stage
2026,4,China,Fintech,5400,130,42,100,Alipay,Late-Stage
2027,1,China,Fintech,5600,132,42,100,Alipay,Late-Stage
2027,2,China,Fintech,5800,135,43,100,Alipay,Late-Stage
2027,3,China,Fintech,5700,133,43,100,Alipay,Late-Stage
2027,4,China,Fintech,6000,138,43,100,Alipay,Late-Stage
2010,1,India,Fintech,8,2,4,2,CashKaro,Early-Stage
2010,2,India,Fintech,10,2,5,3,CashKaro,Early-Stage
2010,3,India,Fintech,6,1,6,2,CashKaro,Early-Stage
2010,4,India,Fintech,12,3,4,4,CashKaro,Early-Stage
2011,1,India,Fintech,15,3,5,5,CashKaro,Early-Stage
2011,2,India,Fintech,18,4,5,6,CashKaro,Early-Stage
2011,3,India,Fintech,14,3,5,5,CashKaro,Early-Stage
2011,4,India,Fintech,20,4,5,7,CashKaro,Early-Stage
2012,1,India,Fintech,25,5,5,8,CashKaro,Early-Stage
2012,2,India,Fintech,28,6,5,9,CashKaro,Early-Stage
2012,3,India,Fintech,24,5,5,8,CashKaro,Early-Stage
2012,4,India,Fintech,32,6,5,10,CashKaro,Early-Stage
2013,1,India,Fintech,40,8,5,12,CashKaro,Early-Stage
2013,2,India,Fintech,45,9,5,14,CashKaro,Early-Stage
2013,3,India,Fintech,42,8,5,13,CashKaro,Early-Stage
2013,4,India,Fintech,50,10,5,15,CashKaro,Early-Stage
2014,1,India,Fintech,60,12,5,18,CashKaro,Early-Stage
2014,2,India,Fintech,70,14,5,20,CashKaro,Early-Stage
2014,3,India,Fintech,65,13,5,19,CashKaro,Early-Stage
2014,4,India,Fintech,80,16,5,22,CashKaro,Growth
2015,1,India,Fintech,100,20,5,25,Paytm,Growth
2015,2,India,Fintech,120,24,5,28,Paytm,Growth
2015,3,India,Fintech,110,22,5,26,Paytm,Growth
2015,4,India,Fintech,140,28,5,30,Paytm,Growth
2016,1,India,Fintech,180,32,6,35,Paytm,Growth
2016,2,India,Fintech,220,36,6,40,Paytm,Growth
2016,3,India,Fintech,200,34,6,38,Paytm,Growth
2016,4,India,Fintech,260,40,7,45,Paytm,Growth
2017,1,India,Fintech,320,45,7,50,Paytm,Growth
2017,2,India,Fintech,380,50,8,55,Paytm,Growth
2017,3,India,Fintech,350,48,7,52,Paytm,Growth
2017,4,India,Fintech,450,55,8,58,Paytm,Late-Stage
2018,1,India,Fintech,520,60,9,60,Paytm,Late-Stage
2018,2,India,Fintech,600,65,9,65,Paytm,Late-Stage
2018,3,India,Fintech,560,62,9,62,Paytm,Late-Stage
2018,4,India,Fintech,680,70,10,68,Paytm,Late-Stage
2019,1,India,Fintech,750,75,10,70,Paytm,Late-Stage
2019,2,India,Fintech,820,78,11,72,Paytm,Late-Stage
2019,3,India,Fintech,780,76,10,71,Paytm,Late-Stage
2019,4,India,Fintech,900,82,11,75,Paytm,Late-Stage
2020,1,India,Fintech,1000,85,12,78,Paytm,Late-Stage
2020,2,India,Fintech,1100,88,13,80,Paytm,Late-Stage
2020,3,India,Fintech,1050,86,12,79,Paytm,Late-Stage
2020,4,India,Fintech,1200,90,13,82,Paytm,Late-Stage
2021,1,India,Fintech,1400,95,15,85,Paytm,Late-Stage
2021,2,India,Fintech,1600,100,16,88,Paytm,Late-Stage
2021,3,India,Fintech,1500,98,15,86,Paytm,Late-Stage
2021,4,India,Fintech,1800,105,17,90,Paytm,Late-Stage
